"Species","Common","Category","dom_common"
"Baccaurea ramiflora","Burmese grape","Domesticated Plant Fruit",NA
"Garcinia prainiana","Button mangosteen","Domesticated Plant Fruit",NA
"Theobroma cacao","Cacao","Domesticated Plant Fruit","cacao"
"Chrysophyllum cainito","Cainito","Domesticated Plant Fruit",NA
"Pouteria campechiana","Canistel","Domesticated Plant Fruit",NA
"Anacardium occidentale","Cashew apple","Domesticated Plant Fruit",NA
"Annona scleroderma","Cawesh","Domesticated Plant Fruit",NA
"Artocarpus integer","Cempedak","Domesticated Plant Fruit",NA
"Garcinia madruno","Charichuelo","Domesticated Plant Fruit",NA
"Annona cherimola","Cherimoya","Domesticated Plant Fruit",NA
"Ficus racemosa","Cluster fig","Domesticated Plant Fruit",NA
"Psidium friedrichsthalianum","Costa Rican guava","Domesticated Plant Fruit",NA
"Hymenaea courbaril","Courbaril","Domesticated Plant Fruit",NA
"Theobroma grandiflorum","Cupuaçu","Domesticated Plant Fruit",NA
"Annona reticulata","Custard apple","Domesticated Plant Fruit",NA
"Davidsonia jerseyana","Davidson's plum","Domesticated Plant Fruit",NA
"Decaisnea insignis","Dead man's fingers","Domesticated Plant Fruit",NA
"Ficus platypoda","Desert fig","Domesticated Plant Fruit",NA
"Borassus flabellifer","Doub palm fruit","Domesticated Plant Fruit",NA
"Duguetia confinis","Duguetia confinis","Domesticated Plant Fruit",NA
"Duguetia spixiana","Duguetia spixiana","Domesticated Plant Fruit",NA
"Durio zibethinus","Durian","Domesticated Plant Fruit",NA
"Dillenia indica","Elephant apple","Domesticated Plant Fruit",NA
"Feijoa sellowiana","Feijoa","Domesticated Plant Fruit",NA
"Ficus carrii","Ficus carrii","Domesticated Plant Fruit",NA
"Ficus carica","Fig","Domesticated Plant Fruit",NA
"Momordica cochinchinensis","Gấc","Domesticated Plant Fruit",NA
"Garcinia morella","Gamboge","Domesticated Plant Fruit",NA
"Garcinia gummi-gutta","Garcinia cambogia","Domesticated Plant Fruit",NA
"Garcinia forbesii","Garcinia forbesii","Domesticated Plant Fruit",NA
"Passiflora quadrangularis","Giant granadilla","Domesticated Plant Fruit",NA
"Glenniea philippinensis","Glenniea philippinensis","Domesticated Plant Fruit",NA
"Psidium guajava","Guava","Domesticated Plant Fruit",NA
"Pandanus tectorius","Hala fruit","Domesticated Plant Fruit",NA
"Hydnora abyssinica","Hydnora abyssinica","Domesticated Plant Fruit",NA
"Inga edulis","Ice-cream bean","Domesticated Plant Fruit",NA
"Annona diversifolia","Ilama","Domesticated Plant Fruit",NA
"Artocarpus heterophyllus","Jackfruit","Domesticated Plant Fruit",NA
"Crescentia cujete","Jícara","Domesticated Plant Fruit",NA
"Cola nitida","Kola nut","Domesticated Plant Fruit",NA
"Pangium edule","Keluak","Domesticated Plant Fruit",NA
"Garcinia parvifolia","Kundong","Domesticated Plant Fruit",NA
"Lardizabala biternata","Lardizabala","Domesticated Plant Fruit",NA
"Pouteria lucuma","Lúcuma","Domesticated Plant Fruit",NA
"Siraitia grosvenorii","Luóhàn guǒ","Domesticated Plant Fruit",NA
"Syzygium jambos","Malabar plum","Domesticated Plant Fruit",NA
"Mammea americana","Mammee","Domesticated Plant Fruit",NA
"Annona crassiflora","Marolo","Domesticated Plant Fruit",NA
"Passiflora incarnata","Maypop","Domesticated Plant Fruit",NA
"Baccaurea racemosa","Menteng","Domesticated Plant Fruit",NA
"Artocarpus lacucha","Monkey fruit","Domesticated Plant Fruit",NA
"Artocarpus rigidus","Monkey jackfruit","Domesticated Plant Fruit",NA
"Pithecellobium dulce","Monkeypod","Domesticated Plant Fruit",NA
"Monstera deliciosa","Monstera deliciosa","Domesticated Plant Fruit",NA
"Annona montana","Mountain soursop","Domesticated Plant Fruit",NA
"Garcinia dulcis","Mundu","Domesticated Plant Fruit",NA
"Solanum quitoense","Naranjilla","Domesticated Plant Fruit",NA
"Strychnos spinosa","Natal orange","Domesticated Plant Fruit",NA
"Morinda citrifolia","Noni","Domesticated Plant Fruit",NA
"Davidsonia pruriens","Ooray","Domesticated Plant Fruit",NA
"Carica papaya","Papaya","Domesticated Plant Fruit","c(""papaya"", ""pawpaw"")"
"Passiflora platyloba","Passiflora platyloba","Domesticated Plant Fruit",NA
"Passiflora edulis","Passionfruit","Domesticated Plant Fruit",NA
"Asimina triloba","Pawpaw","Domesticated Plant Fruit",NA
"Solanum muricatum","Pepino","Domesticated Plant Fruit",NA
"Diospyros kaki","Persimmon","Domesticated Plant Fruit",NA
"Ananas comosus","Pineapple","Domesticated Plant Fruit","c(""Piña"", ""pineapple"")"
"Punica granatum","Pomegranate","Domesticated Plant Fruit",NA
"Annona glabra","Pond apple","Domesticated Plant Fruit",NA
"Garcinia mangostana","Purple mangosteen","Domesticated Plant Fruit",NA
"Pandanus conoideus","Red fruit","Domesticated Plant Fruit",NA
"Salacca zalacca","Salak","Domesticated Plant Fruit",NA
"Ficus coronata","Sandpaper fig","Domesticated Plant Fruit",NA
"Sandoricum koetjape","Santol","Domesticated Plant Fruit",NA
"Davidsonia johnsonii","Smooth davidson's plum","Domesticated Plant Fruit",NA
"Annona purpurea","Soncoya","Domesticated Plant Fruit",NA
"Annona muricata","Soursop","Domesticated Plant Fruit",NA
"Quararibea cordata","South American sapote","Domesticated Plant Fruit",NA
"Averrhoa carambola","Star fruit","Domesticated Plant Fruit",NA
"Ficus aurea","Strangler fig","Domesticated Plant Fruit",NA
"Annona squamosa","Sugar-apple","Domesticated Plant Fruit",NA
"Passiflora ligularis","Sweet granadilla","Domesticated Plant Fruit",NA
"Ficus sycomorus","Sycamore fig","Domesticated Plant Fruit",NA
"Tamarindus indica","Tamarind","Domesticated Plant Fruit",NA
"Artocarpus odoratissimus","Terap","Domesticated Plant Fruit",NA
"Trichosanthes beccariana","Trichosanthes beccariana","Domesticated Plant Fruit",NA
"Vanilla planifolia","Vanilla","Domesticated Plant Fruit","c(""vanilla"", ""Vainilla tlilxóchil"")"
"Diospyros blancoi","Velvet apple","Domesticated Plant Fruit",NA
"Ficus virens","White fig","Domesticated Plant Fruit",NA
"Artocarpus hirsutus","Wild jack","Domesticated Plant Fruit",NA
"Limonia acidissima","Wood-apple","Domesticated Plant Fruit",NA
"Passiflora edulis f flavicarpa","Yellow granadilla","Domesticated Plant Fruit",NA
"Myrtillocactus geometrizans","Bilberry cactus fruit","Domesticated Plant Fruit",NA
"Pachycereus pringlei","Cardón fruit","Domesticated Plant Fruit",NA
"Hylocereus undatus","Dragon fruit","Domesticated Plant Fruit",NA
"Carpobrotus rossii","Karkalla fruit","Domesticated Plant Fruit",NA
"Cereus repandus","Peruvian apple cactus fruit","Domesticated Plant Fruit",NA
"Opuntia ficus-indica","Prickly pear fruit","Domesticated Plant Fruit",NA
"Carnegiea gigantea","Saguaro fruit","Domesticated Plant Fruit",NA
"Juniperus communis","Juniper berry","Domesticated Plant Fruit",NA
"Dacrycarpus dacrydioides","Kahikatea","Domesticated Plant Fruit",NA
"Manoao colensoi","Manoao","Domesticated Plant Fruit",NA
"Nageia nagi","Nageia","Domesticated Plant Fruit",NA
"Podocarpus elatus","Plum pine fruit","Domesticated Plant Fruit",NA
"Podocarpus elongatus","Podocarpus","Domesticated Plant Fruit",NA
"Prumnopitys andina","Prumnopitys","Domesticated Plant Fruit",NA
"Hovenia dulcis","Raisin tree fruit","Domesticated Plant Fruit",NA
"Rheum × hybridum","Rhubarb","Domesticated Plant Fruit",NA
"Dacrydium cupressinum","Rimu","Domesticated Plant Fruit",NA
"Podocarpus totara","Totara","Domesticated Plant Fruit",NA
"Amaranthus cruentus","Amaranth","Domesticated Plant Vegetable",NA
"Eruca sativa","Arugula","Domesticated Plant Vegetable",NA
"Beta vulgaris vulgaris","Beet (greens)","Domesticated Plant Vegetable",NA
"Brassica rapa ","Bok choy (白菜)","Domesticated Plant Vegetable",NA
"Borago officinalis","Borage greens","Domesticated Plant Vegetable",NA
"Brassica oleracea","Broccoli (leaves / stalks)","Domesticated Plant Vegetable","cabbage"
"Veronica beccabunga","Brooklime","Domesticated Plant Vegetable",NA
"Brassica oleracea ","Brussels sprouts","Domesticated Plant Vegetable",NA
"Brassica oleracea ","Cabbage","Domesticated Plant Vegetable",NA
"Hypochaeris radicata","Catsear","Domesticated Plant Vegetable",NA
"Apium graveolens","Celery","Domesticated Plant Vegetable",NA
"Lactuca sativa ","Celtuce","Domesticated Plant Vegetable",NA
"Cnidoscolus aconitifolius aconitifolius","Chaya","Domesticated Plant Vegetable",NA
"Stellaria","Chickweed","Domesticated Plant Vegetable",NA
"Cichorium intybus","Chicory","Domesticated Plant Vegetable",NA
"Malva verticillata","Chinese mallow","Domesticated Plant Vegetable",NA
"Chrysanthemum coronarium","Garland Chrysanthemum","Domesticated Plant Vegetable",NA
"Brassica oleracea","Collard greens","Domesticated Plant Vegetable","cabbage"
"Portulaca oleracea","Common purslane","Domesticated Plant Vegetable",NA
"Valerianella locusta","Corn salad","Domesticated Plant Vegetable",NA
"Lepidium sativum","Cress","Domesticated Plant Vegetable",NA
"Taraxacum officinale","Dandelion","Domesticated Plant Vegetable",NA
"Anethum graveolens","Dill","Domesticated Plant Vegetable",NA
"Cichorium endivia","Endive","Domesticated Plant Vegetable",NA
"Chenopodium album","Fat hen","Domesticated Plant Vegetable",NA
"Pteridium aquilinumAthyrium esculentum","Fiddlehead","Domesticated Plant Vegetable",NA
"Telfairia occidentalis","Fluted pumpkin","Domesticated Plant Vegetable",NA
"Inula crithmoides","Golden samphire","Domesticated Plant Vegetable",NA
"Chenopodium bonus-henricus","Good King Henry","Domesticated Plant Vegetable",NA
"Vitis","Grape (leaves)","Domesticated Plant Vegetable",NA
"Plantago major","Greater plantain","Domesticated Plant Vegetable",NA
"Brassica rapa ","Kai-lan (芥蘭 Gai lan)","Domesticated Plant Vegetable",NA
"Brassica oleracea ","Kale","Domesticated Plant Vegetable",NA
"Brassica rapa ","Komatsuna","Domesticated Plant Vegetable",NA
"Adansonia","Kuka","Domesticated Plant Vegetable",NA
"Talinum fruticosum","Lagos bologi","Domesticated Plant Vegetable",NA
"Valerianella locusta","Lamb's lettuce","Domesticated Plant Vegetable",NA
"Chenopodium album","Lamb's quarters","Domesticated Plant Vegetable",NA
"Barbarea verna","Land cress","Domesticated Plant Vegetable",NA
"Lactuca sativa","Lettuce","Domesticated Plant Vegetable","c(""garden lettuce"", ""lettuce"")"
"Houttuynia cordata","Lizard's tail","Domesticated Plant Vegetable",NA
"Basella alba","Malabar spinach","Domesticated Plant Vegetable",NA
"Malvaceae","Mallow","Domesticated Plant Vegetable",NA
"Corchorus olitoriusCorchorus capsularis","Melokhia","Domesticated Plant Vegetable",NA
"Claytonia perfoliata","Miner's lettuce (Winter purslane)","Domesticated Plant Vegetable",NA
"Brassica rapa ","Mizuna greens","Domesticated Plant Vegetable",NA
"Sinapis alba","Mustard","Domesticated Plant Vegetable",NA
"Brassica rapa ","Napa cabbage","Domesticated Plant Vegetable",NA
"Tetragonia tetragonioides","New Zealand Spinach","Domesticated Plant Vegetable",NA
"Atriplex hortensis","Orache","Domesticated Plant Vegetable",NA
"Brassica rapa ","Pak choy (白菜 Bok choy)","Domesticated Plant Vegetable",NA
"Acmella oleracea","Paracress","Domesticated Plant Vegetable",NA
"Pisum sativum","Pea (sprouts / leaves)","Domesticated Plant Vegetable","garden pea"
"Phytolacca americana","Poke","Domesticated Plant Vegetable",NA
"Cichorium intybus","Radicchio","Domesticated Plant Vegetable",NA
"Brassica rapa rapa","Rapini (broccoli rabe)","Domesticated Plant Vegetable",NA
"Crithmum maritimum","Samphire","Domesticated Plant Vegetable",NA
"Silene inflata","Sculpit / Stridolo","Domesticated Plant Vegetable",NA
"Beta vulgaris maritima","Sea beet","Domesticated Plant Vegetable",NA
"Crambe maritima","Sea kale","Domesticated Plant Vegetable",NA
"Capsella bursa-pastoris","Shepherd's purse","Domesticated Plant Vegetable",NA
"Crassocephalum","Sierra Leone bologi","Domesticated Plant Vegetable",NA
"Celosia argentea","Soko","Domesticated Plant Vegetable",NA
"Rumex acetosa","Sorrel","Domesticated Plant Vegetable",NA
"Brassica oleracea","Sour cabbage","Domesticated Plant Vegetable","cabbage"
"Spinacia oleracea","Spinach","Domesticated Plant Vegetable",NA
"Portulaca oleracea","Summer purslane","Domesticated Plant Vegetable",NA
"Beta vulgaris cicla ","Swiss chard","Domesticated Plant Vegetable",NA
"Brassica rapa ","Tatsoi","Domesticated Plant Vegetable",NA
"Brassica rapa ","Turnip greens","Domesticated Plant Vegetable",NA
"Nasturtium officinale","Watercress","Domesticated Plant Vegetable",NA
"Ipomoea aquatica","Water spinach","Domesticated Plant Vegetable",NA
"Triticum aestivum","Wheatgrass","Domesticated Plant Vegetable","c(""common wheat"", ""wheat"")"
"Achillea millefolium","Yarrow","Domesticated Plant Vegetable",NA
"Brassica napus","Yao choy (油菜 Yu choy)","Domesticated Plant Vegetable","c(""turnip"", ""rape"")"
"Cucumis melo var. flexuosus","Armenian cucumber","Domesticated Plant Vegetable",NA
"Capsicum annuum","Bell pepper","Domesticated Plant Vegetable","cayenne pepper"
"Momordica charantia","Bitter melon / Bitter gourd","Domesticated Plant Vegetable",NA
"Cyclanthera pedata","Caigua / Achocha","Domesticated Plant Vegetable",NA
"Lagenaria siceraria","Calabash / Bottle gourd","Domesticated Plant Vegetable",NA
"Sechium edule","Chayote","Domesticated Plant Vegetable",NA
"Melothria scabra","Cucamelon / Mouse melon","Domesticated Plant Vegetable",NA
"Cucumis sativus","Cucumber","Domesticated Plant Vegetable","garden cucumber"
"Solanum melongena","Eggplant / Aubergine / Brinjal","Domesticated Plant Vegetable","eggplant"
"Coccinia grandis","Ivy gourd","Domesticated Plant Vegetable",NA
"Cucumis metuliferus","Kiwano / Horned melon","Domesticated Plant Vegetable",NA
"Luffa cylindrica","Luffa","Domesticated Plant Vegetable",NA
"Olea europaea","Olive fruit","Domesticated Plant Vegetable","olive"
"Cucurbita","Pumpkin","Domesticated Plant Vegetable",NA
"Trichosanthes dioica","Pointed gourd","Domesticated Plant Vegetable",NA
"Luffa acutangula","Ridged gourd","Domesticated Plant Vegetable",NA
"Trichosanthes cucumerina","Snake gourd","Domesticated Plant Vegetable",NA
"Momordica dioica","Spine gourd / Kantola","Domesticated Plant Vegetable",NA
"Cucurbita","Squash","Domesticated Plant Vegetable",NA
"Capsicum annuum ","Sweet pepper","Domesticated Plant Vegetable",NA
"Praecitrullus fistulosus","Tinda","Domesticated Plant Vegetable",NA
"Physalis philadelphica","Tomatillo","Domesticated Plant Vegetable",NA
"Solanum lycopersicum","Tomato","Domesticated Plant Vegetable","garden tomato"
"Vanilla","Vanilla","Domesticated Plant Vegetable",NA
"Cucumis anguria","West Indian gherkin","Domesticated Plant Vegetable",NA
"Citrullus Lanatus","Water melon","Domesticated Plant Vegetable",NA
"Benincasa hispida","Winter melon","Domesticated Plant Vegetable","waxgourd"
"Cucurbita pepo","Zucchini / Courgette / Marrow","Domesticated Plant Vegetable","c(""vegetable marrow"", ""field pumpkin"")"
"Cynara cardunculus / scolymus","Artichoke","Domesticated Plant Vegetable",NA
"Brassica oleracea","Broccoli","Domesticated Plant Vegetable","cabbage"
"Brassica oleracea","Broccolini flowers","Domesticated Plant Vegetable","cabbage"
"Capparis spinosa","Caper","Domesticated Plant Vegetable",NA
"Brassica oleracea","Cauliflower","Domesticated Plant Vegetable","cabbage"
"Cucurbita","Pumpkin flower","Domesticated Plant Vegetable",NA
"Hemerocallis fulva","Daylily[1]","Domesticated Plant Vegetable",NA
"Fernaldia pandurata","Loroco","Domesticated Plant Vegetable",NA
"Cucurbita","Courgette flowers","Domesticated Plant Vegetable",NA
"Cucurbita","Squash blossoms","Domesticated Plant Vegetable",NA
"Apios americana","American groundnut","Domesticated Plant Vegetable",NA
"Vigna unguiculata ","Asparagus bean","Domesticated Plant Vegetable",NA
"Vigna angularis","Azuki bean","Domesticated Plant Vegetable",NA
"Vigna unguiculata unguiculata","Black-eyed pea","Domesticated Plant Vegetable",NA
"Cicer arietinum","Chickpea","Domesticated Plant Vegetable","chick pea"
"Phaseolus vulgaris","Common bean","Domesticated Plant Vegetable","kidney bean"
"Moringa oleifera","Drumstick","Domesticated Plant Vegetable",NA
"Lablab purpureus","Dolichos bean","Domesticated Plant Vegetable",NA
"Vicia faba","Fava bean","Domesticated Plant Vegetable",NA
"Cicer arietinum","Garbanzo","Domesticated Plant Vegetable","chick pea"
"Phaseolus vulgaris","Green bean (French bean)","Domesticated Plant Vegetable","kidney bean"
"Cyamopsis tetragonoloba","Guar","Domesticated Plant Vegetable",NA
"Macrotyloma uniflorum","Horse gram","Domesticated Plant Vegetable",NA
"Lathyrus sativus","Indian pea","Domesticated Plant Vegetable",NA
"Lens culinaris","Lentil","Domesticated Plant Vegetable",NA
"Phaseolus lunatus","Lima bean","Domesticated Plant Vegetable",NA
"Vigna acontifolia","Moth bean","Domesticated Plant Vegetable",NA
"Vigna radiata","Mung bean","Domesticated Plant Vegetable",NA
"Abelmoschus esculentus","Okra","Domesticated Plant Vegetable",NA
"Pisum sativum","Pea","Domesticated Plant Vegetable","garden pea"
"Arachis hypogaea","Peanut","Domesticated Plant Vegetable","peanut"
"Cajanus cajan","Pigeon pea","Domesticated Plant Vegetable",NA
"Vigna umbellata","Ricebean","Domesticated Plant Vegetable",NA
"Phaseolus coccineus","Runner bean","Domesticated Plant Vegetable",NA
"Pisum sativum ","Snap pea (sugarsnap, mangetout)","Domesticated Plant Vegetable",NA
"Pisum sativum ","Snow pea (mangetout)","Domesticated Plant Vegetable",NA
"Glycine max","Soybean","Domesticated Plant Vegetable","c(""soybean"", ""wild soybean"", ""reseeding soybean"")"
"Lupinus mutabilis","Tarwi (Tarhui / Chocho)","Domesticated Plant Vegetable",NA
"Phaseolus acutifolius","Tepary bean","Domesticated Plant Vegetable",NA
"Vigna mungo","Urad bean","Domesticated Plant Vegetable",NA
"Mucuna pruriens","Velvet bean","Domesticated Plant Vegetable",NA
"Psophocarpus tetragonolobus","Winged bean","Domesticated Plant Vegetable",NA
"Asparagus officinalis","Asparagus","Domesticated Plant Vegetable","c(""asparagus"", ""garden-asparagus"", ""garden asparagus"")"
"Cynara cardunculus","Cardoon","Domesticated Plant Vegetable",NA
"Apium graveolens ","Celeriac","Domesticated Plant Vegetable",NA
"Apium graveolens","Celery","Domesticated Plant Vegetable",NA
"Allium schoenoprasum","Chives","Domesticated Plant Vegetable",NA
"Allium ampeloprasum ","Elephant garlic","Domesticated Plant Vegetable",NA
"Foeniculum vulgare ","Florence fennel","Domesticated Plant Vegetable",NA
"Allium sativum","Garlic","Domesticated Plant Vegetable",NA
"Allium tuberosum","Garlic chives","Domesticated Plant Vegetable",NA
"Brassica oleracea ","Kohlrabi","Domesticated Plant Vegetable",NA
"Allium ampeloprasum ","Kurrat","Domesticated Plant Vegetable",NA
"Cymbopogon citratus","Lemongrass","Domesticated Plant Vegetable",NA
"Allium porrum","Leek","Domesticated Plant Vegetable",NA
"Nelumbo nucifera","Lotus root","Domesticated Plant Vegetable",NA
"Opuntia ficus-indica","Nopal","Domesticated Plant Vegetable",NA
"Allium cepa","Onion","Domesticated Plant Vegetable","garden onion"
"Allium ampeloprasum ","Pearl onion","Domesticated Plant Vegetable",NA
"Allium cepa ","Potato onion","Domesticated Plant Vegetable",NA
"Ornithogalum pyrenaicum","Prussian asparagus","Domesticated Plant Vegetable",NA
"Allium wakegi","Spring onion / Scallion","Domesticated Plant Vegetable",NA
"Allium cepa ","Shallot","Domesticated Plant Vegetable",NA
"Allium × proliferum","Tree onion[2]","Domesticated Plant Vegetable",NA
"Allium fistulosum","Welsh onion","Domesticated Plant Vegetable",NA
"Allium tricoccum","Wild leek","Domesticated Plant Vegetable",NA
"Zizania latifolia","Manchurian wild rice","Domesticated Plant Vegetable",NA
"Pachyrhizus ahipa","Ahipa","Domesticated Plant Vegetable",NA
"Arracacia xanthorrhiza","Arracacha","Domesticated Plant Vegetable",NA
"Bambusa vulgarisPhyllostachys edulis","Bamboo shoot","Domesticated Plant Vegetable",NA
"Beta vulgaris vulgaris","Beetroot","Domesticated Plant Vegetable",NA
"Arctium lappa","Burdock","Domesticated Plant Vegetable",NA
"Sagittaria latifolia","Broadleaf arrowhead","Domesticated Plant Vegetable",NA
"Camassia","Camas","Domesticated Plant Vegetable",NA
"Canna","Canna","Domesticated Plant Vegetable",NA
"Daucus carota","Carrot","Domesticated Plant Vegetable",NA
"Manihot esculenta","Cassava","Domesticated Plant Vegetable","c(""manioc"", ""bitter cassava"", ""tapioca"", ""cassava"")"
"Stachys affinis","Chinese artichoke","Domesticated Plant Vegetable",NA
"Raphanus sativus ","Daikon","Domesticated Plant Vegetable",NA
"Lathyrus tuberosus","Earthnut pea","Domesticated Plant Vegetable",NA
"Amorphophallus paeoniifolius","Elephant foot yam","Domesticated Plant Vegetable","whitespot giant arum"
"Ensete ventricosum","Ensete","Domesticated Plant Vegetable","Abyssinian banana"
"Alpinia galanga","Galangal","Domesticated Plant Vegetable",NA
"Zingiber officinale","Ginger","Domesticated Plant Vegetable",NA
"Petroselinum crispum tuberosum","Hamburg parsley","Domesticated Plant Vegetable",NA
"Armoracia rusticana","Horseradish","Domesticated Plant Vegetable",NA
"Helianthus tuberosus","Jerusalem artichoke","Domesticated Plant Vegetable",NA
"Pachyrhizus erosus","Jícama","Domesticated Plant Vegetable",NA
"Tropaeolum tuberosum","Mashua","Domesticated Plant Vegetable",NA
"Pastinaca sativa","Parsnip","Domesticated Plant Vegetable",NA
"Conopodium majus","Pignut","Domesticated Plant Vegetable",NA
"Solanum tuberosum","Potato","Domesticated Plant Vegetable","Irish potato"
"Psoralea esculenta","Prairie turnip","Domesticated Plant Vegetable",NA
"Raphanus sativus","Radish","Domesticated Plant Vegetable","c(""cultivated radish"", ""radish"", ""garden radish"", ""wild radish"")"
"Brassica napus ","Rutabaga (swede)","Domesticated Plant Vegetable",NA
"Tragopogon porrifolius","Salsify","Domesticated Plant Vegetable",NA
"Scorzonera hispanica","Scorzonera","Domesticated Plant Vegetable",NA
"Sium sisarum","Skirret","Domesticated Plant Vegetable",NA
"Brassica napus ","Swede","Domesticated Plant Vegetable",NA
"Ipomoea batatas","Sweet potato (Kumara)","Domesticated Plant Vegetable","c(""`uala"", ""sweet potato"", ""sweet-potato"", ""sweetpotato"")"
"Colocasia esculenta","Taro","Domesticated Plant Vegetable","c(""coco yam"", ""wild taro"")"
"Cordyline fruticosa","Ti","Domesticated Plant Vegetable",NA
"Cyperus esculentus","Tigernut","Domesticated Plant Vegetable",NA
"Curcuma longa","Turmeric","Domesticated Plant Vegetable",NA
"Brassica rapa ","Turnip","Domesticated Plant Vegetable",NA
"Ullucus tuberosus","Ulluco","Domesticated Plant Vegetable",NA
"Wasabia japonica","Wasabi","Domesticated Plant Vegetable",NA
"Trapa natansTrapa bicornis","Water caltrop","Domesticated Plant Vegetable",NA
"Eleocharis dulcis","Water chestnut","Domesticated Plant Vegetable",NA
"Smallanthus sonchifolius","Yacón","Domesticated Plant Vegetable",NA
"Dioscorea [3]","Yam","Domesticated Plant Vegetable",NA
"MonostromaEnteromorpha","Aonori","Domesticated Plant Vegetable",NA
"Eisenia bicyclis","Arame","Domesticated Plant Vegetable",NA
"Callophyllis variegata","Carola","Domesticated Plant Vegetable",NA
"Alaria esculenta","Dabberlocks (Badderlocks)","Domesticated Plant Vegetable",NA
"Palmaria palmata","Dulse (Dillisk)","Domesticated Plant Vegetable",NA
"Hizikia fusiformis","Hijiki","Domesticated Plant Vegetable",NA
"Laminaria japonica","Kombu","Domesticated Plant Vegetable",NA
"Porphyra","Laver / Gim","Domesticated Plant Vegetable",NA
"Cladosiphon okamuranus","Mozuku","Domesticated Plant Vegetable",NA
"Porphyra","Nori","Domesticated Plant Vegetable",NA
"Gracilaria","Ogonori","Domesticated Plant Vegetable",NA
"Caulerpa","Sea grape","Domesticated Plant Vegetable",NA
"Ulva lactuca","Sea lettuce","Domesticated Plant Vegetable",NA
"Undaria pinnatifida","Wakame","Domesticated Plant Vegetable",NA
"Triticum","Wheat","Domesticated Plant Cereal",NA
"Oryza","Rice","Domesticated Plant Cereal",NA
"Hordeum","Barley","Domesticated Plant Cereal",NA
"Zea mays","Corn","Domesticated Plant Cereal","corn"
"Secale cereale","Rye","Domesticated Plant Cereal",NA
"Avena","Oats","Domesticated Plant Cereal",NA
"Echinocloa frumentacea","Millet","Domesticated Plant Cereal",NA
"Eleusine coracana","Japanese Millet","Domesticated Plant Cereal",NA
"Eragrostis abyssinica","Teff","Domesticated Plant Cereal",NA
"Panicum miliaceum","Golden Millet","Domesticated Plant Cereal",NA
"Paspalum scrobiculatum","Ditch Millet","Domesticated Plant Cereal",NA
"Pennisetum glaucum","Pearl Millet","Domesticated Plant Cereal",NA
"Setaria italica","Foxtail Millet","Domesticated Plant Cereal","c(""Italian bristle grass"", ""Italian foxtail"", ""foxtail bristlegrass"", ""foxtail millet"")"
"Sorghum","Sorghum","Domesticated Plant Cereal",NA
"Fagopyrum","Buckwheat","Domesticated Plant Cereal",NA
"Chenopodum quinoa","Quinoa","Domesticated Plant Cereal",NA
"Digitaria","Fonio","Domesticated Plant Cereal",NA
"Phalaris canariensis","Canary Seed","Domesticated Plant Cereal",NA
"Gylcine max","Soybean","Domesticated Plant Other",NA
"Medicago sativa","Alfalfa","Domesticated Plant Other",NA
"Lagenaria siceraria","Calabash","Domesticated Plant Other",NA
"Cannabis sativa","Marijuana","Domesticated Plant Other","c(""hemp"", ""grass"", ""hashish"", ""Mary Jane"", ""pot"", ""marijuana"")"
"Cannabis indica","Marijuana","Domesticated Plant Other",NA
"Theobroma cacoa","Chocolate","Domesticated Plant Other",NA
"Cola acuminata","Cola","Domesticated Plant Other",NA
"Cola nitida","Cola","Domesticated Plant Other",NA
"Coffea arabica","Coffee","Domesticated Plant Other",NA
"Papaver somniferum","Opium","Domesticated Plant Other",NA
"Nicotiana tabacum","Tobacco","Domesticated Plant Other","cultivated tobacco"
"Camellia sinensis","Tea","Domesticated Plant Other","tea"
"Gossypium","Cotton","Domesticated Plant Other","cotton"
"Linum usitatissimum","Flax","Domesticated Plant Other","c(""cultivated flax"", ""common flax"")"
"Agave fourcroydes","Sisal","Domesticated Plant Other",NA
"Corchorus capsularis","White Jute","Domesticated Plant Other",NA
"Corchorus capsularis","Tossa Jute","Domesticated Plant Other",NA
"Hibiscus cannabinus","Kenaf","Domesticated Plant Other",NA
"Cinnamomum verum","Cinnamon","Domesticated Plant Other",NA
"Pimenta dioica","Allspice","Domesticated Plant Other",NA
"Coriandrum sativum","Cilantro","Domesticated Plant Other",NA
"Cuminum cyminum","Cumin","Domesticated Plant Other",NA
"Jasminum","Jasmine","Domesticated Plant Other",NA
"Cymbopogon","Lemongrass","Domesticated Plant Other",NA
"Myristica fragrans","Nutmeg","Domesticated Plant Other",NA
"Origanum vulgare","Oregano","Domesticated Plant Other",NA
"Petroselinum crispum","Parsley","Domesticated Plant Other",NA
"Mentha balsamea","Peppermint","Domesticated Plant Other",NA
"Salvia rosmarinus","Rosemary","Domesticated Plant Other",NA
"Croceus sativus","Saffron","Domesticated Plant Other",NA
"Mentha spicata","Spearmint","Domesticated Plant Other",NA
"Thymus vulgaris","Thyme","Domesticated Plant Other",NA
"Saccharum officinarum","Sugar Cane","Domesticated Plant Other",NA
"Amaranthus",NA,NA,"pigweed"
"Amaranthus caudatus",NA,NA,"c(""quelite"", ""love-lies-bleeding"")"
"Amaranthus dubius",NA,NA,"spleen amaranth"
"Amaranthus hybridus",NA,NA,"c(""green pigweed"", ""smooth amaranth"", ""smooth pigweed"", ""slim amaranth"")"
"Amaranthus hypochondriacus",NA,NA,"c(""Prince-of-Wales-feather"", ""Prince-of-Wales feather"")"
